,join_key,math_benchmark_percent
20,"(1, 2020)",49.13663
21,"(1, 2021)",49.13663
22,"(8, 2000)",36.61129
23,"(8, 2001)",36.61129
24,"(8, 2002)",36.61129
25,"(8, 2003)",36.61129
26,"(8, 2004)",36.61129
27,"(8, 2005)",36.61129
28,"(8, 2006)",36.61129
29,"(8, 2007)",36.61129
30,"(8, 2008)",36.61129
31,"(8, 2009)",32.26541
32,"(8, 2010)",32.26541
33,"(8, 2011)",32.26541
34,"(8, 2012)",39.33503
35,"(8, 2013)",39.33503
36,"(8, 2014)",39.33503
37,"(8, 2015)",46.71703
38,"(8, 2016)",46.71703
39,"(8, 2017)",46.71703
40,"(8, 2018)",57.62715
41,"(8, 2019)",57.62715
42,"(8, 2020)",57.62715
43,"(8, 2021)",57.62715
64,"(9, 2020)",77.66784
65,"(9, 2021)",77.66784
81,"(12, 2015)",19.04324
82,"(12, 2016)",19.04324
83,"(12, 2017)",19.04324
84,"(12, 2018)",19.04324
85,"(12, 2019)",19.04324
86,"(12, 2020)",19.04324
87,"(12, 2021)",19.04324
94,"(31, 2006)",89.4645
95,"(31, 2007)",89.4645
96,"(31, 2008)",89.4645
97,"(31, 2009)",54.72519
98,"(31, 2010)",54.72519
99,"(31, 2011)",54.72519
100,"(31, 2012)",54.72519
101,"(31, 2013)",54.72519
102,"(31, 2014)",54.72519
103,"(31, 2015)",54.72519
104,"(31, 2016)",54.72519
105,"(31, 2017)",54.72519
106,"(31, 2018)",54.72519
107,"(31, 2019)",54.72519
108,"(31, 2020)",54.72519
109,"(31, 2021)",54.72519
110,"(32, 2000)",41.32499
111,"(32, 2001)",41.32499
112,"(32, 2002)",41.32499
113,"(32, 2003)",41.32499
114,"(32, 2004)",41.32499
115,"(32, 2005)",41.32499
116,"(32, 2006)",35.85652
117,"(32, 2007)",35.85652
118,"(32, 2008)",35.85652
119,"(32, 2009)",36.44542
120,"(32, 2010)",36.44542
121,"(32, 2011)",36.44542
122,"(32, 2012)",33.51507
123,"(32, 2013)",33.51507
124,"(32, 2014)",33.51507
125,"(32, 2015)",33.51507
126,"(32, 2016)",33.51507
127,"(32, 2017)",33.51507
128,"(32, 2018)",31.03288
129,"(32, 2019)",31.03288
130,"(32, 2020)",31.03288
131,"(32, 2021)",31.03288
132,"(36, 2000)",89.67318
133,"(36, 2001)",89.67318
134,"(36, 2002)",89.67318
135,"(36, 2003)",85.6574
136,"(36, 2004)",85.6574
137,"(36, 2005)",85.6574
138,"(36, 2006)",87.0328
139,"(36, 2007)",87.0328
140,"(36, 2008)",87.0328
141,"(36, 2009)",84.12645
142,"(36, 2010)",84.12645
143,"(36, 2011)",84.12645
144,"(36, 2012)",80.33285
145,"(36, 2013)",80.33285
146,"(36, 2014)",80.33285
147,"(36, 2015)",78.02553
148,"(36, 2016)",78.02553
149,"(36, 2017)",78.02553
150,"(36, 2018)",77.56688
151,"(36, 2019)",77.56688
152,"(36, 2020)",77.56688
153,"(36, 2021)",77.56688
154,"(40, 2000)",84.44446
155,"(40, 2001)",84.44446
156,"(40, 2002)",84.44446
157,"(40, 2003)",81.23016
158,"(40, 2004)",81.23016
159,"(40, 2005)",81.23016
160,"(40, 2006)",80.00001
161,"(40, 2007)",80.00001
162,"(40, 2008)",80.00001
163,"(40, 2009)",76.7601
164,"(40, 2010)",76.7601
165,"(40, 2011)",76.7601
166,"(40, 2012)",81.34507
167,"(40, 2013)",81.34507
168,"(40, 2014)",81.34507
169,"(40, 2015)",78.24862
170,"(40, 2016)",78.24862
171,"(40, 2017)",78.24862
172,"(40, 2018)",78.92112
173,"(40, 2019)",78.92112
174,"(40, 2020)",78.92112
175,"(40, 2021)",78.92112
179,"(48, 2003)",17.12856
180,"(48, 2004)",17.12856
181,"(48, 2005)",17.12856
182,"(48, 2006)",17.12856
183,"(48, 2007)",18.76543
184,"(48, 2008)",18.76543
185,"(48, 2009)",18.76543
186,"(48, 2010)",18.76543
187,"(48, 2011)",26.19335
188,"(48, 2012)",26.19335
189,"(48, 2013)",26.19335
190,"(48, 2014)",26.19335
191,"(48, 2015)",39.47395
192,"(48, 2016)",39.47395
193,"(48, 2017)",39.47395
194,"(48, 2018)",39.47395
195,"(48, 2019)",55.0
196,"(48, 2020)",55.0
197,"(48, 2021)",55.0
211,"(50, 2013)",35.0
212,"(50, 2014)",35.0
213,"(50, 2015)",57.0
214,"(50, 2016)",57.0
215,"(50, 2017)",57.0
216,"(50, 2018)",57.0
217,"(50, 2019)",57.0
218,"(50, 2020)",57.0
219,"(50, 2021)",57.0
223,"(51, 2003)",53.96795
224,"(51, 2004)",53.96795
225,"(51, 2005)",53.96795
226,"(51, 2006)",53.96795
227,"(51, 2007)",63.48834
228,"(51, 2008)",63.48834
229,"(51, 2009)",63.48834
230,"(51, 2010)",63.48834
231,"(51, 2011)",49.01759
232,"(51, 2012)",49.01759
233,"(51, 2013)",49.01759
234,"(51, 2014)",49.01759
235,"(51, 2015)",50.40721
236,"(51, 2016)",50.40721
237,"(51, 2017)",50.40721
238,"(51, 2018)",50.40721
239,"(51, 2019)",50.40721
240,"(51, 2020)",50.40721
241,"(51, 2021)",50.40721
242,"(56, 2000)",80.32178
243,"(56, 2001)",80.32178
244,"(56, 2002)",80.32178
245,"(56, 2003)",83.50253
246,"(56, 2004)",83.50253
247,"(56, 2005)",83.50253
248,"(56, 2006)",82.65611
249,"(56, 2007)",82.65611
250,"(56, 2008)",82.65611
251,"(56, 2009)",80.94882
252,"(56, 2010)",80.94882
253,"(56, 2011)",80.94882
254,"(56, 2012)",81.03681
255,"(56, 2013)",81.03681
256,"(56, 2014)",81.03681
257,"(56, 2015)",79.93734
258,"(56, 2016)",79.93734
259,"(56, 2017)",79.93734
260,"(56, 2018)",80.33807
261,"(56, 2019)",80.33807
262,"(56, 2020)",80.33807
263,"(56, 2021)",80.33807
284,"(62, 2020)",48.15566
285,"(62, 2021)",48.15566
293,"(70, 2007)",42.14675
294,"(70, 2008)",42.14675
295,"(70, 2009)",42.14675
296,"(70, 2010)",42.14675
297,"(70, 2011)",42.14675
298,"(70, 2012)",42.14675
299,"(70, 2013)",42.14675
300,"(70, 2014)",42.14675
301,"(70, 2015)",42.14675
302,"(70, 2016)",42.14675
303,"(70, 2017)",42.14675
304,"(70, 2018)",42.14675
305,"(70, 2019)",42.14675
306,"(70, 2020)",42.14675
307,"(70, 2021)",42.14675
308,"(76, 2000)",19.59474
309,"(76, 2001)",19.59474
310,"(76, 2002)",19.59474
311,"(76, 2003)",24.8314
312,"(76, 2004)",24.8314
313,"(76, 2005)",24.8314
314,"(76, 2006)",27.48007
315,"(76, 2007)",27.48007
316,"(76, 2008)",27.48007
317,"(76, 2009)",30.88083
318,"(76, 2010)",30.88083
319,"(76, 2011)",30.88083
320,"(76, 2012)",31.70972
321,"(76, 2013)",31.70972
322,"(76, 2014)",31.70972
323,"(76, 2015)",29.74863
324,"(76, 2016)",29.74863
325,"(76, 2017)",29.74863
326,"(76, 2018)",31.90613
327,"(76, 2019)",31.90613
328,"(76, 2020)",31.90613
329,"(76, 2021)",31.90613
348,"(96, 2018)",52.13175
349,"(96, 2019)",52.13175
350,"(96, 2020)",52.13175
351,"(96, 2021)",52.13175
352,"(100, 2000)",54.59159
353,"(100, 2001)",54.59159
354,"(100, 2002)",54.59159
355,"(100, 2003)",54.59159
356,"(100, 2004)",54.59159
357,"(100, 2005)",54.59159
358,"(100, 2006)",46.72246
359,"(100, 2007)",46.72246
360,"(100, 2008)",46.72246
361,"(100, 2009)",52.87923
362,"(100, 2010)",52.87923
363,"(100, 2011)",52.87923
364,"(100, 2012)",56.24342
365,"(100, 2013)",56.24342
366,"(100, 2014)",56.24342
367,"(100, 2015)",57.92654
368,"(100, 2016)",57.92654
369,"(100, 2017)",57.92654
370,"(100, 2018)",55.58716
371,"(100, 2019)",55.58716
372,"(100, 2020)",55.58716
373,"(100, 2021)",55.58716
392,"(112, 2018)",70.63742
393,"(112, 2019)",70.63742
394,"(112, 2020)",70.63742
395,"(112, 2021)",70.63742
411,"(116, 2015)",9.88192
412,"(116, 2016)",9.88192
413,"(116, 2017)",9.88192
414,"(116, 2018)",9.88192
415,"(116, 2019)",9.88192
416,"(116, 2020)",9.88192
417,"(116, 2021)",9.88192
418,"(124, 2000)",90.59238
