,poverty_percentage,join_key
10,16.0,"(1.0, 2010)"
11,13.9,"(1.0, 2011)"
12,12.9,"(1.0, 2012)"
13,11.4,"(1.0, 2013)"
14,10.7,"(1.0, 2014)"
15,10.1,"(1.0, 2015)"
16,9.7,"(1.0, 2016)"
17,9.3,"(1.0, 2017)"
18,9.3,"(1.0, 2018)"
19,9.3,"(1.0, 2019)"
20,9.3,"(1.0, 2020)"
21,9.3,"(1.0, 2021)"
32,40.2,"(2.0, 2010)"
33,38.6,"(2.0, 2011)"
34,37.3,"(2.0, 2012)"
35,36.9,"(2.0, 2013)"
36,36.0,"(2.0, 2014)"
37,35.7,"(2.0, 2015)"
38,35.7,"(2.0, 2016)"
39,35.2,"(2.0, 2017)"
40,34.7,"(2.0, 2018)"
41,34.7,"(2.0, 2019)"
42,34.7,"(2.0, 2020)"
43,34.7,"(2.0, 2021)"
54,5.0,"(5.0, 2010)"
55,4.5,"(5.0, 2011)"
56,4.0,"(5.0, 2012)"
57,3.4,"(5.0, 2013)"
58,3.1,"(5.0, 2014)"
59,3.1,"(5.0, 2015)"
60,3.5,"(5.0, 2016)"
61,3.7,"(5.0, 2017)"
62,3.6,"(5.0, 2018)"
63,3.7,"(5.0, 2019)"
64,3.7,"(5.0, 2020)"
65,3.7,"(5.0, 2021)"
76,0.3,"(8.0, 2010)"
77,0.3,"(8.0, 2011)"
78,0.8,"(8.0, 2012)"
79,0.8,"(8.0, 2013)"
80,1.6,"(8.0, 2014)"
81,1.1,"(8.0, 2015)"
82,0.9,"(8.0, 2016)"
83,1.3,"(8.0, 2017)"
84,1.3,"(8.0, 2018)"
85,1.3,"(8.0, 2019)"
86,1.3,"(8.0, 2020)"
87,1.3,"(8.0, 2021)"
98,9.7,"(9.0, 2010)"
99,9.7,"(9.0, 2011)"
100,9.6,"(9.0, 2012)"
101,9.4,"(9.0, 2013)"
102,8.3,"(9.0, 2014)"
103,7.9,"(9.0, 2015)"
104,7.5,"(9.0, 2016)"
105,7.4,"(9.0, 2017)"
106,7.4,"(9.0, 2018)"
107,7.4,"(9.0, 2019)"
108,7.4,"(9.0, 2020)"
109,7.4,"(9.0, 2021)"
120,48.6,"(11.0, 2010)"
121,45.1,"(11.0, 2011)"
122,41.9,"(11.0, 2012)"
123,41.9,"(11.0, 2013)"
124,41.9,"(11.0, 2014)"
125,41.9,"(11.0, 2015)"
126,38.1,"(11.0, 2016)"
127,37.0,"(11.0, 2017)"
128,35.6,"(11.0, 2018)"
129,34.5,"(11.0, 2019)"
