,join_key,R&D_proportion_of_GDP
10,"(8, 2010)",0.15412
11,"(8, 2011)",0.15412
12,"(8, 2012)",0.15412
13,"(8, 2013)",0.15412
14,"(8, 2014)",0.15412
15,"(8, 2015)",0.15412
16,"(8, 2016)",0.15412
17,"(8, 2017)",0.15412
18,"(8, 2018)",0.15412
19,"(8, 2019)",0.15412
20,"(8, 2020)",0.15412
21,"(8, 2021)",0.15412
32,"(12, 2010)",0.06604
33,"(12, 2011)",0.06604
34,"(12, 2012)",0.06604
35,"(12, 2013)",0.06604
36,"(12, 2014)",0.06604
37,"(12, 2015)",0.06604
38,"(12, 2016)",0.06604
39,"(12, 2017)",0.54297
40,"(12, 2018)",0.54297
41,"(12, 2019)",0.54297
42,"(12, 2020)",0.54297
43,"(12, 2021)",0.54297
54,"(16, 2010)",0.39313
55,"(16, 2011)",0.39313
56,"(16, 2012)",0.39313
57,"(16, 2013)",0.39313
58,"(16, 2014)",0.39313
59,"(16, 2015)",0.39313
60,"(16, 2016)",0.39313
61,"(16, 2017)",0.39313
62,"(16, 2018)",0.39313
63,"(16, 2019)",0.39313
64,"(16, 2020)",0.39313
65,"(16, 2021)",0.39313
82,"(24, 2016)",0.03229
83,"(24, 2017)",0.03229
84,"(24, 2018)",0.03229
85,"(24, 2019)",0.03229
86,"(24, 2020)",0.03229
87,"(24, 2021)",0.03229
98,"(31, 2010)",0.21848
99,"(31, 2011)",0.21084
100,"(31, 2012)",0.21427
101,"(31, 2013)",0.20969
102,"(31, 2014)",0.20978
103,"(31, 2015)",0.22232
104,"(31, 2016)",0.20637
105,"(31, 2017)",0.18468
106,"(31, 2018)",0.18416
107,"(31, 2019)",0.18416
108,"(31, 2020)",0.18416
109,"(31, 2021)",0.18416
120,"(32, 2010)",0.56104
121,"(32, 2011)",0.56597
122,"(32, 2012)",0.63491
123,"(32, 2013)",0.61849
124,"(32, 2014)",0.59396
125,"(32, 2015)",0.62262
126,"(32, 2016)",0.55815
127,"(32, 2017)",0.55712
128,"(32, 2018)",0.4936
129,"(32, 2019)",0.4936
130,"(32, 2020)",0.4936
131,"(32, 2021)",0.4936
142,"(36, 2010)",2.37586
143,"(36, 2011)",2.23765
144,"(36, 2012)",2.23765
145,"(36, 2013)",2.1787
146,"(36, 2014)",2.1787
147,"(36, 2015)",1.91918
148,"(36, 2016)",1.91918
149,"(36, 2017)",1.87466
150,"(36, 2018)",1.87466
151,"(36, 2019)",1.87466
152,"(36, 2020)",1.87466
153,"(36, 2021)",1.87466
164,"(40, 2010)",2.7261
165,"(40, 2011)",2.66868
166,"(40, 2012)",2.91472
167,"(40, 2013)",2.95492
168,"(40, 2014)",3.08429
169,"(40, 2015)",3.04969
170,"(40, 2016)",3.11659
171,"(40, 2017)",3.04885
172,"(40, 2018)",3.17491
173,"(40, 2019)",3.2105
174,"(40, 2020)",3.2105
175,"(40, 2021)",3.2105
