,join_key,reading_benchmark_percent
20,"(1, 2020)",58.02323
21,"(1, 2021)",58.02323
22,"(8, 2000)",29.64437
23,"(8, 2001)",29.64437
24,"(8, 2002)",29.64437
25,"(8, 2003)",29.64437
26,"(8, 2004)",29.64437
27,"(8, 2005)",29.64437
28,"(8, 2006)",29.64437
29,"(8, 2007)",29.64437
30,"(8, 2008)",29.64437
31,"(8, 2009)",43.33176
32,"(8, 2010)",43.33176
33,"(8, 2011)",43.33176
34,"(8, 2012)",47.66456
35,"(8, 2013)",47.66456
36,"(8, 2014)",47.66456
37,"(8, 2015)",47.66456
38,"(8, 2016)",47.66456
39,"(8, 2017)",47.66456
40,"(8, 2018)",47.76432
41,"(8, 2019)",47.76432
42,"(8, 2020)",47.76432
43,"(8, 2021)",47.76432
64,"(9, 2020)",80.55045
65,"(9, 2021)",80.55045
81,"(12, 2015)",21.03063
82,"(12, 2016)",21.03063
83,"(12, 2017)",21.03063
84,"(12, 2018)",21.03063
85,"(12, 2019)",21.03063
86,"(12, 2020)",21.03063
87,"(12, 2021)",21.03063
94,"(31, 2006)",20.58498
95,"(31, 2007)",20.58498
96,"(31, 2008)",20.58498
97,"(31, 2009)",27.21145
98,"(31, 2010)",27.21145
99,"(31, 2011)",27.21145
100,"(31, 2012)",27.21145
101,"(31, 2013)",27.21145
102,"(31, 2014)",27.21145
103,"(31, 2015)",27.21145
104,"(31, 2016)",27.21145
105,"(31, 2017)",27.21145
106,"(31, 2018)",27.21145
107,"(31, 2019)",27.21145
108,"(31, 2020)",27.21145
109,"(31, 2021)",27.21145
110,"(32, 2000)",56.08919
111,"(32, 2001)",56.08919
112,"(32, 2002)",56.08919
113,"(32, 2003)",56.08919
114,"(32, 2004)",56.08919
115,"(32, 2005)",56.08919
116,"(32, 2006)",42.13603
117,"(32, 2007)",42.13603
118,"(32, 2008)",42.13603
119,"(32, 2009)",48.42049
120,"(32, 2010)",48.42049
121,"(32, 2011)",48.42049
122,"(32, 2012)",46.43523
123,"(32, 2013)",46.43523
124,"(32, 2014)",46.43523
125,"(32, 2015)",46.43523
126,"(32, 2016)",46.43523
127,"(32, 2017)",46.43523
128,"(32, 2018)",47.88365
129,"(32, 2019)",47.88365
130,"(32, 2020)",47.88365
131,"(32, 2021)",47.88365
132,"(36, 2000)",87.53859
133,"(36, 2001)",87.53859
134,"(36, 2002)",87.53859
135,"(36, 2003)",88.15696
136,"(36, 2004)",88.15696
137,"(36, 2005)",88.15696
138,"(36, 2006)",86.60399
139,"(36, 2007)",86.60399
140,"(36, 2008)",86.60399
141,"(36, 2009)",85.75038
142,"(36, 2010)",85.75038
143,"(36, 2011)",85.75038
144,"(36, 2012)",85.80754
145,"(36, 2013)",85.80754
146,"(36, 2014)",85.80754
147,"(36, 2015)",81.93253
148,"(36, 2016)",81.93253
149,"(36, 2017)",81.93253
150,"(36, 2018)",80.37261
151,"(36, 2019)",80.37261
152,"(36, 2020)",80.37261
153,"(36, 2021)",80.37261
154,"(40, 2000)",85.38536
155,"(40, 2001)",85.38536
156,"(40, 2002)",85.38536
157,"(40, 2003)",79.29672
158,"(40, 2004)",79.29672
159,"(40, 2005)",79.29672
160,"(40, 2006)",78.48328
161,"(40, 2007)",78.48328
162,"(40, 2008)",78.48328
163,"(40, 2009)",72.42369
164,"(40, 2010)",72.42369
165,"(40, 2011)",72.42369
166,"(40, 2012)",80.50978
167,"(40, 2013)",80.50978
168,"(40, 2014)",80.50978
169,"(40, 2015)",77.46034
170,"(40, 2016)",77.46034
171,"(40, 2017)",77.46034
172,"(40, 2018)",76.37674
173,"(40, 2019)",76.37674
174,"(40, 2020)",76.37674
175,"(40, 2021)",76.37674
189,"(50, 2013)",49.0
190,"(50, 2014)",49.0
191,"(50, 2015)",54.0
192,"(50, 2016)",54.0
193,"(50, 2017)",54.0
194,"(50, 2018)",54.0
195,"(50, 2019)",54.0
196,"(50, 2020)",54.0
197,"(50, 2021)",54.0
198,"(56, 2000)",81.01552
199,"(56, 2001)",81.01552
200,"(56, 2002)",81.01552
201,"(56, 2003)",82.12721
202,"(56, 2004)",82.12721
203,"(56, 2005)",82.12721
204,"(56, 2006)",80.59795
205,"(56, 2007)",80.59795
206,"(56, 2008)",80.59795
207,"(56, 2009)",82.25741
208,"(56, 2010)",82.25741
209,"(56, 2011)",82.25741
210,"(56, 2012)",83.92354
211,"(56, 2013)",83.92354
212,"(56, 2014)",83.92354
213,"(56, 2015)",80.46547
214,"(56, 2016)",80.46547
215,"(56, 2017)",80.46547
216,"(56, 2018)",78.74654
217,"(56, 2019)",78.74654
218,"(56, 2020)",78.74654
219,"(56, 2021)",78.74654
240,"(62, 2020)",51.78547
241,"(62, 2021)",51.78547
257,"(64, 2015)",56.0
258,"(64, 2016)",56.0
259,"(64, 2017)",56.0
260,"(64, 2018)",56.0
261,"(64, 2019)",56.0
262,"(64, 2020)",56.0
263,"(64, 2021)",56.0
282,"(70, 2018)",46.32493
283,"(70, 2019)",46.32493
284,"(70, 2020)",46.32493
285,"(70, 2021)",46.32493
286,"(76, 2000)",44.20103
287,"(76, 2001)",44.20103
288,"(76, 2002)",44.20103
289,"(76, 2003)",49.99937
290,"(76, 2004)",49.99937
291,"(76, 2005)",49.99937
292,"(76, 2006)",44.49665
293,"(76, 2007)",44.49665
294,"(76, 2008)",44.49665
295,"(76, 2009)",50.44337
296,"(76, 2010)",50.44337
297,"(76, 2011)",50.44337
298,"(76, 2012)",49.22901
299,"(76, 2013)",49.22901
300,"(76, 2014)",49.22901
301,"(76, 2015)",49.00791
302,"(76, 2016)",49.00791
303,"(76, 2017)",49.00791
304,"(76, 2018)",50.04612
305,"(76, 2019)",50.04612
306,"(76, 2020)",50.04612
307,"(76, 2021)",50.04612
326,"(96, 2018)",48.19751
327,"(96, 2019)",48.19751
328,"(96, 2020)",48.19751
329,"(96, 2021)",48.19751
330,"(100, 2000)",59.6646
331,"(100, 2001)",59.6646
332,"(100, 2002)",59.6646
333,"(100, 2003)",59.6646
334,"(100, 2004)",59.6646
335,"(100, 2005)",59.6646
336,"(100, 2006)",48.92784
337,"(100, 2007)",48.92784
338,"(100, 2008)",48.92784
339,"(100, 2009)",59.01265
340,"(100, 2010)",59.01265
341,"(100, 2011)",59.01265
342,"(100, 2012)",60.60917
343,"(100, 2013)",60.60917
344,"(100, 2014)",60.60917
345,"(100, 2015)",58.53054
346,"(100, 2016)",58.53054
347,"(100, 2017)",58.53054
348,"(100, 2018)",52.8972
349,"(100, 2019)",52.8972
350,"(100, 2020)",52.8972
351,"(100, 2021)",52.8972
370,"(112, 2018)",76.58973
371,"(112, 2019)",76.58973
372,"(112, 2020)",76.58973
373,"(112, 2021)",76.58973
389,"(116, 2015)",7.50555
390,"(116, 2016)",7.50555
391,"(116, 2017)",7.50555
392,"(116, 2018)",7.50555
393,"(116, 2019)",7.50555
394,"(116, 2020)",7.50555
395,"(116, 2021)",7.50555
396,"(124, 2000)",90.44219
397,"(124, 2001)",90.44219
398,"(124, 2002)",90.44219
399,"(124, 2003)",90.46056
400,"(124, 2004)",90.46056
401,"(124, 2005)",90.46056
402,"(124, 2006)",89.04412
403,"(124, 2007)",89.04412
404,"(124, 2008)",89.04412
405,"(124, 2009)",89.71092
406,"(124, 2010)",89.71092
407,"(124, 2011)",89.71092
408,"(124, 2012)",89.10521
409,"(124, 2013)",89.10521
410,"(124, 2014)",89.10521
411,"(124, 2015)",89.31858
412,"(124, 2016)",89.31858
413,"(124, 2017)",89.31858
414,"(124, 2018)",86.24969
415,"(124, 2019)",86.24969
416,"(124, 2020)",86.24969
417,"(124, 2021)",86.24969
434,"(144, 2016)",21.27
435,"(144, 2017)",21.27
436,"(144, 2018)",21.27
437,"(144, 2019)",21.27
438,"(144, 2020)",21.27
439,"(144, 2021)",21.27
440,"(152, 2000)",51.83003
441,"(152, 2001)",51.83003
442,"(152, 2002)",51.83003
443,"(152, 2003)",51.83003
444,"(152, 2004)",51.83003
445,"(152, 2005)",51.83003
446,"(152, 2006)",63.74076
447,"(152, 2007)",63.74076
448,"(152, 2008)",63.74076
449,"(152, 2009)",69.43745
450,"(152, 2010)",69.43745
451,"(152, 2011)",69.43745
452,"(152, 2012)",66.98467
453,"(152, 2013)",66.98467
454,"(152, 2014)",66.98467
455,"(152, 2015)",71.61538
456,"(152, 2016)",71.61538
457,"(152, 2017)",71.61538
458,"(152, 2018)",68.27905
459,"(152, 2019)",68.27905
460,"(152, 2020)",68.27905
461,"(152, 2021)",68.27905
478,"(156, 2016)",79.6
479,"(156, 2017)",79.6
480,"(156, 2018)",79.6
481,"(156, 2019)",79.6
482,"(156, 2020)",79.6
483,"(156, 2021)",79.6
490,"(170, 2006)",44.29747
491,"(170, 2007)",44.29747
492,"(170, 2008)",44.29747
493,"(170, 2009)",52.88558
494,"(170, 2010)",52.88558
495,"(170, 2011)",52.88558
496,"(170, 2012)",48.55411
497,"(170, 2013)",48.55411
498,"(170, 2014)",48.55411
499,"(170, 2015)",57.16047
500,"(170, 2016)",57.16047
501,"(170, 2017)",57.16047
502,"(170, 2018)",50.09685
503,"(170, 2019)",50.09685
504,"(170, 2020)",50.09685
505,"(170, 2021)",50.09685
515,"(188, 2009)",67.37795
516,"(188, 2010)",67.37795
517,"(188, 2011)",67.37795
518,"(188, 2012)",67.61731
519,"(188, 2013)",67.61731
520,"(188, 2014)",67.61731
521,"(188, 2015)",59.69423
522,"(188, 2016)",59.69423
523,"(188, 2017)",59.69423
524,"(188, 2018)",58.03514
525,"(188, 2019)",58.03514
526,"(188, 2020)",58.03514
527,"(188, 2021)",58.03514
534,"(191, 2006)",78.45754
535,"(191, 2007)",78.45754
536,"(191, 2008)",78.45754
537,"(191, 2009)",77.56463
538,"(191, 2010)",77.56463
539,"(191, 2011)",77.56463
540,"(191, 2012)",81.30265
541,"(191, 2013)",81.30265
542,"(191, 2014)",81.30265
543,"(191, 2015)",80.13412
544,"(191, 2016)",80.13412
545,"(191, 2017)",80.13412
546,"(191, 2018)",78.42116
547,"(191, 2019)",78.42116
548,"(191, 2020)",78.42116
549,"(191, 2021)",78.42116
569,"(192, 2019)",99.6
570,"(192, 2020)",99.6
571,"(192, 2021)",99.6
590,"(196, 2018)",56.2921
591,"(196, 2019)",56.2921
592,"(196, 2020)",56.2921
593,"(196, 2021)",56.2921
614,"(202, 2020)",10.51678
615,"(202, 2021)",10.51678
616,"(203, 2000)",82.49808
617,"(203, 2001)",82.49808
618,"(203, 2002)",82.49808
619,"(203, 2003)",80.68714
620,"(203, 2004)",80.68714
621,"(203, 2005)",80.68714
622,"(203, 2006)",75.22457
623,"(203, 2007)",75.22457
624,"(203, 2008)",75.22457
625,"(203, 2009)",76.94532
626,"(203, 2010)",76.94532
627,"(203, 2011)",76.94532
628,"(203, 2012)",83.13411
629,"(203, 2013)",83.13411
630,"(203, 2014)",83.13411
631,"(203, 2015)",77.97674
632,"(203, 2016)",77.97674
633,"(203, 2017)",77.97674
634,"(203, 2018)",79.25952
635,"(203, 2019)",79.25952
636,"(203, 2020)",79.25952
637,"(203, 2021)",79.25952
638,"(208, 2000)",82.08824
639,"(208, 2001)",82.08824
640,"(208, 2002)",82.08824
641,"(208, 2003)",83.47883
642,"(208, 2004)",83.47883
643,"(208, 2005)",83.47883
644,"(208, 2006)",83.98577
645,"(208, 2007)",83.98577
646,"(208, 2008)",83.98577
647,"(208, 2009)",84.78205
