,join_key,full_time_researchers_per_million
10,"(8, 2010)",155.52783
11,"(8, 2011)",155.52783
12,"(8, 2012)",155.52783
13,"(8, 2013)",155.52783
14,"(8, 2014)",155.52783
15,"(8, 2015)",155.52783
16,"(8, 2016)",155.52783
17,"(8, 2017)",155.52783
18,"(8, 2018)",155.52783
19,"(8, 2019)",155.52783
20,"(8, 2020)",155.52783
21,"(8, 2021)",155.52783
32,"(12, 2010)",168.71935
33,"(12, 2011)",168.71935
34,"(12, 2012)",168.71935
35,"(12, 2013)",168.71935
36,"(12, 2014)",168.71935
37,"(12, 2015)",168.71935
38,"(12, 2016)",168.71935
39,"(12, 2017)",819.3427
40,"(12, 2018)",819.3427
41,"(12, 2019)",819.3427
42,"(12, 2020)",819.3427
43,"(12, 2021)",819.3427
54,"(16, 2010)",100.73537
55,"(16, 2011)",100.73537
56,"(16, 2012)",100.73537
57,"(16, 2013)",100.73537
58,"(16, 2014)",100.73537
59,"(16, 2015)",100.73537
60,"(16, 2016)",100.73537
61,"(16, 2017)",100.73537
62,"(16, 2018)",100.73537
63,"(16, 2019)",100.73537
64,"(16, 2020)",100.73537
65,"(16, 2021)",100.73537
77,"(24, 2011)",47.48012
78,"(24, 2012)",47.48012
79,"(24, 2013)",47.48012
80,"(24, 2014)",47.48012
81,"(24, 2015)",47.48012
82,"(24, 2016)",18.81599
83,"(24, 2017)",18.81599
84,"(24, 2018)",18.81599
85,"(24, 2019)",18.81599
86,"(24, 2020)",18.81599
87,"(24, 2021)",18.81599
98,"(32, 2010)",1123.83311
99,"(32, 2011)",1180.67303
100,"(32, 2012)",1203.37119
101,"(32, 2013)",1198.26439
102,"(32, 2014)",1206.94193
103,"(32, 2015)",1230.53948
104,"(32, 2016)",1259.64008
105,"(32, 2017)",1210.45658
106,"(32, 2018)",1211.42035
107,"(32, 2019)",1211.42035
108,"(32, 2020)",1211.42035
109,"(32, 2021)",1211.42035
120,"(36, 2010)",4532.40149
121,"(36, 2011)",4532.40149
122,"(36, 2012)",4532.40149
123,"(36, 2013)",4532.40149
124,"(36, 2014)",4532.40149
125,"(36, 2015)",4532.40149
126,"(36, 2016)",4532.40149
127,"(36, 2017)",4532.40149
128,"(36, 2018)",4532.40149
129,"(36, 2019)",4532.40149
130,"(36, 2020)",4532.40149
131,"(36, 2021)",4532.40149
142,"(40, 2010)",4349.71722
143,"(40, 2011)",4390.34667
144,"(40, 2012)",4669.44719
145,"(40, 2013)",4724.72032
146,"(40, 2014)",4947.87477
147,"(40, 2015)",5019.43848
148,"(40, 2016)",5224.35435
149,"(40, 2017)",5387.92896
150,"(40, 2018)",5733.07565
151,"(40, 2019)",5733.07565
152,"(40, 2020)",5733.07565
153,"(40, 2021)",5733.07565
168,"(48, 2014)",368.99126
169,"(48, 2015)",368.99126
170,"(48, 2016)",368.99126
171,"(48, 2017)",368.99126
172,"(48, 2018)",368.99126
173,"(48, 2019)",368.99126
174,"(48, 2020)",368.99126
175,"(48, 2021)",368.99126
186,"(56, 2010)",3732.83127
187,"(56, 2011)",3875.64397
188,"(56, 2012)",4113.26364
189,"(56, 2013)",4155.91094
190,"(56, 2014)",4528.91488
191,"(56, 2015)",4711.04559
192,"(56, 2016)",4780.51719
193,"(56, 2017)",4729.55358
194,"(56, 2018)",5023.26301
195,"(56, 2019)",5023.26301
196,"(56, 2020)",5023.26301
197,"(56, 2021)",5023.26301
208,"(68, 2010)",163.80159
209,"(68, 2011)",163.80159
210,"(68, 2012)",163.80159
211,"(68, 2013)",163.80159
212,"(68, 2014)",163.80159
213,"(68, 2015)",163.80159
214,"(68, 2016)",163.80159
215,"(68, 2017)",163.80159
216,"(68, 2018)",163.80159
217,"(68, 2019)",163.80159
218,"(68, 2020)",163.80159
219,"(68, 2021)",163.80159
230,"(70, 2010)",198.03677
231,"(70, 2011)",198.03677
232,"(70, 2012)",160.13994
233,"(70, 2013)",233.86738
234,"(70, 2014)",292.38061
235,"(70, 2015)",365.22839
236,"(70, 2016)",419.99063
237,"(70, 2017)",485.42082
238,"(70, 2018)",471.2501
239,"(70, 2019)",471.2501
240,"(70, 2020)",471.2501
241,"(70, 2021)",471.2501
254,"(72, 2012)",172.43949
255,"(72, 2013)",185.20781
256,"(72, 2014)",185.20781
257,"(72, 2015)",185.20781
258,"(72, 2016)",185.20781
259,"(72, 2017)",185.20781
260,"(72, 2018)",185.20781
261,"(72, 2019)",185.20781
262,"(72, 2020)",185.20781
263,"(72, 2021)",185.20781
274,"(76, 2010)",686.12491
275,"(76, 2011)",737.71786
276,"(76, 2012)",788.48979
277,"(76, 2013)",838.47208
278,"(76, 2014)",887.67844
279,"(76, 2015)",887.67844
280,"(76, 2016)",887.67844
281,"(76, 2017)",887.67844
282,"(76, 2018)",887.67844
283,"(76, 2019)",887.67844
284,"(76, 2020)",887.67844
285,"(76, 2021)",887.67844
296,"(96, 2010)",283.50207
297,"(96, 2011)",283.50207
298,"(96, 2012)",283.50207
299,"(96, 2013)",283.50207
300,"(96, 2014)",283.50207
301,"(96, 2015)",283.50207
302,"(96, 2016)",283.50207
303,"(96, 2017)",283.50207
304,"(96, 2018)",283.50207
305,"(96, 2019)",283.50207
306,"(96, 2020)",283.50207
307,"(96, 2021)",283.50207
318,"(100, 2010)",1478.65161
319,"(100, 2011)",1613.03219
320,"(100, 2012)",1540.76839
321,"(100, 2013)",1683.79312
322,"(100, 2014)",1821.92174
323,"(100, 2015)",1977.29335
324,"(100, 2016)",2237.29099
325,"(100, 2017)",2125.18395
326,"(100, 2018)",2342.86988
327,"(100, 2019)",2342.86988
328,"(100, 2020)",2342.86988
329,"(100, 2021)",2342.86988
340,"(104, 2010)",17.54637
341,"(104, 2011)",17.54637
342,"(104, 2012)",17.54637
343,"(104, 2013)",17.54637
344,"(104, 2014)",17.54637
345,"(104, 2015)",17.54637
346,"(104, 2016)",17.54637
347,"(104, 2017)",29.07319
348,"(104, 2018)",29.07319
349,"(104, 2019)",29.07319
350,"(104, 2020)",29.07319
351,"(104, 2021)",29.07319
364,"(108, 2012)",20.928
365,"(108, 2013)",20.928
366,"(108, 2014)",20.928
367,"(108, 2015)",20.928
368,"(108, 2016)",20.928
369,"(108, 2017)",20.928
370,"(108, 2018)",23.43546
371,"(108, 2019)",23.43546
372,"(108, 2020)",23.43546
373,"(108, 2021)",23.43546
384,"(116, 2010)",17.64162
385,"(116, 2011)",17.64162
386,"(116, 2012)",17.64162
387,"(116, 2013)",17.64162
388,"(116, 2014)",17.64162
389,"(116, 2015)",30.36704
390,"(116, 2016)",30.36704
391,"(116, 2017)",30.36704
392,"(116, 2018)",30.36704
393,"(116, 2019)",30.36704
394,"(116, 2020)",30.36704
395,"(116, 2021)",30.36704
406,"(124, 2010)",4646.30508
407,"(124, 2011)",4780.08165
408,"(124, 2012)",4627.4515
409,"(124, 2013)",4623.11761
410,"(124, 2014)",4541.84807
411,"(124, 2015)",4523.09283
412,"(124, 2016)",4369.6299
413,"(124, 2017)",4325.64492
414,"(124, 2018)",4325.64492
415,"(124, 2019)",4325.64492
416,"(124, 2020)",4325.64492
417,"(124, 2021)",4325.64492
428,"(132, 2010)",135.45516
429,"(132, 2011)",50.11456
430,"(132, 2012)",50.11456
431,"(132, 2013)",50.11456
432,"(132, 2014)",123.48752
433,"(132, 2015)",123.48752
434,"(132, 2016)",123.48752
435,"(132, 2017)",123.48752
436,"(132, 2018)",123.48752
437,"(132, 2019)",123.48752
438,"(132, 2020)",123.48752
439,"(132, 2021)",123.48752
450,"(144, 2010)",105.6178
451,"(144, 2011)",105.6178
452,"(144, 2012)",105.6178
453,"(144, 2013)",110.14833
454,"(144, 2014)",98.94889
455,"(144, 2015)",105.988
456,"(144, 2016)",106.84467
457,"(144, 2017)",106.39893
458,"(144, 2018)",106.39893
459,"(144, 2019)",106.39893
460,"(144, 2020)",106.39893
461,"(144, 2021)",106.39893
478,"(148, 2016)",57.89175
479,"(148, 2017)",57.89175
480,"(148, 2018)",57.89175
481,"(148, 2019)",57.89175
482,"(148, 2020)",57.89175
483,"(148, 2021)",57.89175
494,"(152, 2010)",318.82717
495,"(152, 2011)",352.70683
496,"(152, 2012)",390.68244
497,"(152, 2013)",335.36674
498,"(152, 2014)",427.12188
499,"(152, 2015)",454.95945
500,"(152, 2016)",493.45864
501,"(152, 2017)",493.29542
502,"(152, 2018)",493.29542
503,"(152, 2019)",493.29542
504,"(152, 2020)",493.29542
505,"(152, 2021)",493.29542
516,"(156, 2010)",884.59337
517,"(156, 2011)",957.56503
518,"(156, 2012)",1014.31188
519,"(156, 2013)",1066.20984
520,"(156, 2014)",1089.19646
521,"(156, 2015)",1150.81931
522,"(156, 2016)",1196.68794
523,"(156, 2017)",1224.7822
524,"(156, 2018)",1307.12128
525,"(156, 2019)",1307.12128
526,"(156, 2020)",1307.12128
527,"(156, 2021)",1307.12128
541,"(170, 2013)",57.3604
542,"(170, 2014)",58.29539
543,"(170, 2015)",69.54869
544,"(170, 2016)",89.36161
545,"(170, 2017)",88.0191
546,"(170, 2018)",88.0191
547,"(170, 2019)",88.0191
548,"(170, 2020)",88.0191
549,"(170, 2021)",88.0191
560,"(178, 2010)",32.5349
561,"(178, 2011)",32.5349
562,"(178, 2012)",32.5349
563,"(178, 2013)",32.5349
564,"(178, 2014)",32.5349
565,"(178, 2015)",32.5349
566,"(178, 2016)",32.5349
567,"(178, 2017)",32.5349
568,"(178, 2018)",32.5349
569,"(178, 2019)",32.5349
570,"(178, 2020)",32.5349
571,"(178, 2021)",32.5349
587,"(180, 2015)",10.56469
588,"(180, 2016)",10.56469
589,"(180, 2017)",10.56469
590,"(180, 2018)",10.56469
591,"(180, 2019)",10.56469
592,"(180, 2020)",10.56469
593,"(180, 2021)",10.56469
604,"(188, 2010)",381.87801
605,"(188, 2011)",406.20873
606,"(188, 2012)",337.24403
607,"(188, 2013)",355.11641
608,"(188, 2014)",568.46192
609,"(188, 2015)",495.2758
610,"(188, 2016)",525.37635
611,"(188, 2017)",380.40758
612,"(188, 2018)",345.03858
613,"(188, 2019)",345.03858
614,"(188, 2020)",345.03858
615,"(188, 2021)",345.03858
626,"(191, 2010)",1641.34223
627,"(191, 2011)",1587.48964
628,"(191, 2012)",1556.84123
629,"(191, 2013)",1526.68079
630,"(191, 2014)",1437.42986
631,"(191, 2015)",1504.17896
632,"(191, 2016)",1850.49572
633,"(191, 2017)",1868.34023
634,"(191, 2018)",1921.13136
635,"(191, 2019)",1921.13136
636,"(191, 2020)",1921.13136
637,"(191, 2021)",1921.13136
648,"(196, 2010)",1077.70041
649,"(196, 2011)",1063.79153
650,"(196, 2012)",1017.46435
651,"(196, 2013)",1036.13054
652,"(196, 2014)",1064.92501
653,"(196, 2015)",1009.05438
654,"(196, 2016)",1050.53568
655,"(196, 2017)",1196.43246
656,"(196, 2018)",1255.85256
657,"(196, 2019)",1255.85256
658,"(196, 2020)",1255.85256
659,"(196, 2021)",1255.85256
670,"(203, 2010)",2773.95996
671,"(203, 2011)",2903.66154
672,"(203, 2012)",3139.23525
673,"(203, 2013)",3237.23584
674,"(203, 2014)",3402.82622
675,"(203, 2015)",3592.07367
676,"(203, 2016)",3516.17175
677,"(203, 2017)",3682.03353
678,"(203, 2018)",3862.67088
679,"(203, 2019)",3862.67088
680,"(203, 2020)",3862.67088
681,"(203, 2021)",3862.67088
