,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Reporting Type,Units
18919,14,14.c,14.c.1,ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),31,Azerbaijan,2021,80,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat","In line with the methodology established for indicator 14.c.1, missing or “N/A” responses have not been included as part of the overall score calculation.",C,G,PERCENT
18920,14,14.c,14.c.1,ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),32,Argentina,2021,100,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat","In line with the methodology established for indicator 14.c.1, missing or “N/A” responses have not been included as part of the overall score calculation.",C,G,PERCENT
18921,14,14.c,14.c.1,ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),40,Austria,2021,95,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat","In line with the methodology established for indicator 14.c.1, missing or “N/A” responses have not been included as part of the overall score calculation.",C,G,PERCENT
18922,14,14.c,14.c.1,ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),50,Bangladesh,2021,90,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
18923,14,14.c,14.c.1,ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),84,Belize,2021,67,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
18924,14,14.c,14.c.1,ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),100,Bulgaria,2021,100,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat","In line with the methodology established for indicator 14.c.1, missing or “N/A” responses have not been included as part of the overall score calculation.",C,G,PERCENT
18925,14,14.c,14.c.1,ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),108,Burundi,2021,11,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat","In line with the methodology established for indicator 14.c.1, missing or “N/A” responses have not been included as part of the overall score calculation.",C,G,PERCENT
18926,14,14.c,14.c.1,ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),112,Belarus,2021,48,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat","In line with the methodology established for indicator 14.c.1, missing or “N/A” responses have not been included as part of the overall score calculation.",C,G,PERCENT
18927,14,14.c,14.c.1,ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),156,China,2021,95,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat","In line with the methodology established for indicator 14.c.1, missing or “N/A” responses have not been included as part of the overall score calculation.",C,G,PERCENT
18928,14,14.c,14.c.1,ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),170,Colombia,2021,50,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat","In line with the methodology established for indicator 14.c.1, missing or “N/A” responses have not been included as part of the overall score calculation.",C,G,PERCENT
