Indicator,GeoAreaCode,GeoAreaName,TimePeriod,R&D proportion of GDP 
9.5.1,8,Albania,2007,0.08757
9.5.1,8,Albania,2008,0.15412
9.5.1,12,Algeria,2001,0.23028
9.5.1,12,Algeria,2002,0.36639
9.5.1,12,Algeria,2003,0.19622
9.5.1,12,Algeria,2004,0.16357
9.5.1,12,Algeria,2005,0.06604
9.5.1,12,Algeria,2017,0.54297
9.5.1,16,American Samoa,2003,0.1868
9.5.1,16,American Samoa,2004,0.32337
9.5.1,16,American Samoa,2005,0.36473
9.5.1,16,American Samoa,2006,0.39313
9.5.1,24,Angola,2016,0.03229
9.5.1,31,Azerbaijan,2000,0.336
9.5.1,31,Azerbaijan,2001,0.34001
9.5.1,31,Azerbaijan,2002,0.30155
9.5.1,31,Azerbaijan,2003,0.32496
9.5.1,31,Azerbaijan,2004,0.29831
9.5.1,31,Azerbaijan,2005,0.21994
9.5.1,31,Azerbaijan,2006,0.17165
9.5.1,31,Azerbaijan,2007,0.17006
9.5.1,31,Azerbaijan,2008,0.16554
9.5.1,31,Azerbaijan,2009,0.24976
9.5.1,31,Azerbaijan,2010,0.21848
9.5.1,31,Azerbaijan,2011,0.21084
9.5.1,31,Azerbaijan,2012,0.21427
9.5.1,31,Azerbaijan,2013,0.20969
9.5.1,31,Azerbaijan,2014,0.20978
9.5.1,31,Azerbaijan,2015,0.22232
9.5.1,31,Azerbaijan,2016,0.20637
9.5.1,31,Azerbaijan,2017,0.18468
9.5.1,31,Azerbaijan,2018,0.18416
9.5.1,32,Argentina,2000,0.43884
9.5.1,32,Argentina,2001,0.42461
9.5.1,32,Argentina,2002,0.38886
9.5.1,32,Argentina,2003,0.41013
9.5.1,32,Argentina,2004,0.40376
9.5.1,32,Argentina,2005,0.42074
9.5.1,32,Argentina,2006,0.45216
9.5.1,32,Argentina,2007,0.46007
9.5.1,32,Argentina,2008,0.47055
9.5.1,32,Argentina,2009,0.58398
9.5.1,32,Argentina,2010,0.56104
9.5.1,32,Argentina,2011,0.56597
9.5.1,32,Argentina,2012,0.63491
9.5.1,32,Argentina,2013,0.61849
9.5.1,32,Argentina,2014,0.59396
9.5.1,32,Argentina,2015,0.62262
9.5.1,32,Argentina,2016,0.55815
9.5.1,32,Argentina,2017,0.55712
9.5.1,32,Argentina,2018,0.4936
9.5.1,36,Australia,2000,1.57558
9.5.1,36,Australia,2002,1.75161
9.5.1,36,Australia,2004,1.85456
9.5.1,36,Australia,2006,2.18552
9.5.1,36,Australia,2008,2.4037
9.5.1,36,Australia,2010,2.37586
9.5.1,36,Australia,2011,2.23765
9.5.1,36,Australia,2013,2.1787
9.5.1,36,Australia,2015,1.91918
9.5.1,36,Australia,2017,1.87466
9.5.1,40,Austria,2000,1.88602
9.5.1,40,Austria,2001,1.9921
9.5.1,40,Austria,2002,2.06598
9.5.1,40,Austria,2003,2.17456
9.5.1,40,Austria,2004,2.16612
9.5.1,40,Austria,2005,2.37324
9.5.1,40,Austria,2006,2.35923
9.5.1,40,Austria,2007,2.41843
9.5.1,40,Austria,2008,2.56945
9.5.1,40,Austria,2009,2.59674
9.5.1,40,Austria,2010,2.7261
9.5.1,40,Austria,2011,2.66868
9.5.1,40,Austria,2012,2.91472
9.5.1,40,Austria,2013,2.95492
9.5.1,40,Austria,2014,3.08429
9.5.1,40,Austria,2015,3.04969
9.5.1,40,Austria,2016,3.11659
9.5.1,40,Austria,2017,3.04885
9.5.1,40,Austria,2018,3.17491
9.5.1,40,Austria,2019,3.2105
9.5.1,48,Bahrain,2014,0.10116
9.5.1,51,Armenia,2000,0.19106
9.5.1,51,Armenia,2001,0.27987
9.5.1,51,Armenia,2002,0.25255
9.5.1,51,Armenia,2003,0.32109
9.5.1,51,Armenia,2004,0.25659
9.5.1,51,Armenia,2005,0.25761
9.5.1,51,Armenia,2006,0.24057
9.5.1,51,Armenia,2007,0.21107
9.5.1,51,Armenia,2008,0.22438
9.5.1,51,Armenia,2009,0.29093
9.5.1,51,Armenia,2010,0.24139
9.5.1,51,Armenia,2011,0.27014
9.5.1,51,Armenia,2012,0.23853
9.5.1,51,Armenia,2013,0.22216
9.5.1,51,Armenia,2014,0.24151
9.5.1,51,Armenia,2015,0.25002
9.5.1,51,Armenia,2016,0.23305
9.5.1,51,Armenia,2017,0.22788
9.5.1,51,Armenia,2018,0.18876
9.5.1,56,Belgium,2000,1.93619
9.5.1,56,Belgium,2001,2.03279
9.5.1,56,Belgium,2002,1.90325
9.5.1,56,Belgium,2003,1.84119
9.5.1,56,Belgium,2004,1.8205
9.5.1,56,Belgium,2005,1.79061
9.5.1,56,Belgium,2006,1.82269
9.5.1,56,Belgium,2007,1.84999
