Indicator,GeoAreaCode,GeoAreaName,Year, Full Time Researchers per million (pop)  ,Time_Detail
9.5.2,8,Albania,2008,155.52783,2008
9.5.2,12,Algeria,2005,168.71935,2005
9.5.2,12,Algeria,2017,819.3427,2017
9.5.2,16,American Samoa,2002,84.63101,2002
9.5.2,16,American Samoa,2003,403.33423,2003
9.5.2,16,American Samoa,2004,150.80176,2004
9.5.2,16,American Samoa,2005,100.73537,2005
9.5.2,24,Angola,2011,47.48012,2011
9.5.2,24,Angola,2016,18.81599,2016
9.5.2,32,Argentina,2000,716.55644,2000
9.5.2,32,Argentina,2001,688.2777,2001
9.5.2,32,Argentina,2002,692.19186,2002
9.5.2,32,Argentina,2003,718.52276,2003
9.5.2,32,Argentina,2004,765.64017,2004
9.5.2,32,Argentina,2005,819.37769,2005
9.5.2,32,Argentina,2006,891.83275,2006
9.5.2,32,Argentina,2007,974.71808,2007
9.5.2,32,Argentina,2008,1035.99886,2008
9.5.2,32,Argentina,2009,1035.62531,2009
9.5.2,32,Argentina,2010,1123.83311,2010
9.5.2,32,Argentina,2011,1180.67303,2011
9.5.2,32,Argentina,2012,1203.37119,2012
9.5.2,32,Argentina,2013,1198.26439,2013
9.5.2,32,Argentina,2014,1206.94193,2014
9.5.2,32,Argentina,2015,1230.53948,2015
9.5.2,32,Argentina,2016,1259.64008,2016
9.5.2,32,Argentina,2017,1210.45658,2017
9.5.2,32,Argentina,2018,1211.42035,2018
9.5.2,36,Australia,2000,3475.32527,2000
9.5.2,36,Australia,2002,3771.53817,2002
9.5.2,36,Australia,2004,4084.15159,2004
9.5.2,36,Australia,2006,4248.25649,2006
9.5.2,36,Australia,2008,4343.12653,2008
9.5.2,36,Australia,2010,4532.40149,2010
9.5.2,40,Austria,2002,2965.68455,2002
9.5.2,40,Austria,2004,3158.79469,2004
9.5.2,40,Austria,2005,3449.33454,2005
9.5.2,40,Austria,2006,3524.13895,2006
9.5.2,40,Austria,2007,3810.03152,2007
9.5.2,40,Austria,2008,4136.92593,2008
9.5.2,40,Austria,2009,4140.10453,2009
9.5.2,40,Austria,2010,4349.71722,2010
9.5.2,40,Austria,2011,4390.34667,2011
9.5.2,40,Austria,2012,4669.44719,2012
9.5.2,40,Austria,2013,4724.72032,2013
9.5.2,40,Austria,2014,4947.87477,2014
9.5.2,40,Austria,2015,5019.43848,2015
9.5.2,40,Austria,2016,5224.35435,2016
9.5.2,40,Austria,2017,5387.92896,2017
9.5.2,40,Austria,2018,5733.07565,2018
9.5.2,48,Bahrain,2014,368.99126,2014
9.5.2,56,Belgium,2000,2970.19422,2000
9.5.2,56,Belgium,2001,3123.98921,2001
9.5.2,56,Belgium,2002,2958.84489,2002
9.5.2,56,Belgium,2003,2967.37,2003
9.5.2,56,Belgium,2004,3091.60518,2004
9.5.2,56,Belgium,2005,3142.7299,2005
